Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-23,5;2,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,958988175;5,384223919;0,36;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-27,4;2,7;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,9653654;5,472204252;0,38;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-19,5;1,3;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,399367178;4,827101393;0,42;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-22,5;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,389711536;4,915081727;0,45;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-31,4;2,4;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,389776934;5,457540863;0,61;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-36,2;2,8;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,377903859;5,472204252;0,62;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Kraljevo;43,43;20,42;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-17,1;1,2;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,4050404;4,460602924;0,31;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Kraljevo;43,43;20,42;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-19,9;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,43862068;4,504593091;0,31;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Kraljevo;43,43;20,42;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-28,4;2,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,192901316;4,533919869;0,42;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Kraljevo;43,43;20,42;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-32,9;2,8;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,194746873;4,504593091;0,41;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Krusevac;43,34;21,21;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-16,8;1,3;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,668003623;4,841764782;0,32;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Krusevac;43,34;21,21;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-19,4;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,701329507;4,885754949;0,32;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Krusevac;43,34;21,21;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-27,2;2,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,693412724;5,281580196;0,43;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Krusevac;43,34;21,21;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-31,4;2,8;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,688443682;5,237590029;0,42;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Nis;43,19;21,54;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-17,2;1,2;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,803391158;4,944408505;0,3;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Nis;43,19;21,54;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-20,1;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,821507842;4,929745116;0,29;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Nis;43,19;21,54;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-28,5;2,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,827232026;5,281580196;0,38;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Nis;43,19;21,54;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-33,1;2,8;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,836249239;5,178936473;0,35;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Novi Sad;45,12;19,3;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-15,5;1,1;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;4,012305746;5,296243585;0,32;Positive;;;;;;;;;
