Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Norway;;;;World;NO;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Neutral;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Norway;;;;World;NO;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Neutral;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Belarus;;;;World;BY;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Neutral;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Estonia;;;;World;EE;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Latvia;;;;World;LV;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Lithuania;;;;World;LT;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Poland;;;;World;PL;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Neutral;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Near;2050;2050;1997;2003;2050;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Slovakia;;;;World;SK;Country;;;Far;2070;2070;1997;2003;2070;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Ukraine;Western Ukraine;;;World;UA1;Country_cropped;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Ukraine;Eastern Ukraine;;;World;UA2;Country_cropped;;;Near;2030;2030;1997;2003;2030;2000;RCP2.6;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Neutral;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Ukraine;Western Ukraine;;;World;UA1;Country_cropped;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Ukraine;Eastern Ukraine;;;World;UA2;Country_cropped;;;Near;2030;2030;1997;2003;2030;2000;RCP4.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Ukraine;Western Ukraine;;;World;UA1;Country_cropped;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Positive;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
Feng et al. 2021;10.1016/j.fcr.2021.108069;Impact;Soybean;;Unclear;Europe;Ukraine;Eastern Ukraine;;;World;UA2;Country_cropped;;;Near;2030;2030;1997;2003;2030;2000;RCP8.5;IPSL-CM5A-LR/BCC-CSM 1.1/MIROC-ESM-CHEM;;;;MaxEnt;Niche model;Temperature/Rainfall/Stress unclear;Suitability index;;Suitability index;;;;;Neutral;;;;;;;;;Extracted from Fig. 4 & 5 with ImageJ
