Var;Geo;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Malta;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Malta;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Malta;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Area (1000ha);Netherlands;0;0;0;0;0,54;0,48;0;;0,2;0
Area (1000ha);Noord-Nederland;0;0;0;0;0,09;0,03;0;;0;0
Area (1000ha);Groningen;0;0;0;0;0,03;0;0;;0;0
Area (1000ha);Friesland (NL);0;0;0;0;0,01;0,02;0;;0;0
Area (1000ha);Drenthe;0;0;0;0;0,05;0,01;0;;0;0
Area (1000ha);Oost-Nederland;0;0;0;0;0,04;0,12;0;;0;0
Area (1000ha);Overijssel;0;0;0;0;0;0;0;;0;0
Area (1000ha);Gelderland;0;0;0;0;0,03;0,08;0;;0;0
Area (1000ha);Flevoland;0;0;0;0;0,01;0,04;0;;0;0
Area (1000ha);West-Nederland;0;0;0;0;0,16;0,1;0;;0;0
Area (1000ha);Utrecht;0;0;0;0;0;0;0;;0;0
Area (1000ha);Noord-Holland;0;0;0;0;0,03;0,02;0;;0;0
Area (1000ha);Zuid-Holland;0;0;0;0;0,02;0,02;0;;0;0
Area (1000ha);Zeeland;0;0;0;0;0,1;0,06;0;;0;0
Area (1000ha);Zuid-Nederland;0;0;0;0;0,25;0,23;0;;0;0
Area (1000ha);Noord-Brabant;0;0;0;0;0,18;0,16;0;;0;0
Area (1000ha);Limburg (NL);0;0;0;0;0,07;0,07;0;;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;;;0;;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;;;0;;0;0
Area (1000ha);Austria;43,83;56,9;49,79;64,47;67,62;69,21;68,5;76,74;93,73;86,48
Area (1000ha);Ostösterreich;24,31;33,71;30,38;37,29;39,71;43,77;44,24;51,01;;
Area (1000ha);Burgenland;13,87;18,72;17,44;20,74;21,06;23,44;23,44;26,28;;
Area (1000ha);Niederösterreich;10,38;14,92;12,89;16,47;18,56;20,19;20,53;24,41;;
Area (1000ha);Wien;0,06;0,08;0,05;0,08;0,09;0,14;0,27;0,32;;
Area (1000ha);Südösterreich;6,32;8,99;6,73;10,91;12,03;9,87;9,21;10,18;;
Area (1000ha);Kärnten;3,2;3,97;3,39;3,86;3,65;3,64;3,68;4;;
Area (1000ha);Steiermark;3,13;5,01;3,34;7,05;8,38;6,23;5,53;6,18;;
Area (1000ha);Westösterreich;13,2;14,2;12,68;16,27;15,88;15,57;15,06;15,56;;
Area (1000ha);Oberösterreich;13,17;14,16;12,64;16,21;15,83;15,52;15,02;15,51;;
Area (1000ha);Salzburg;0,03;0,04;0,04;0,05;0,05;0,04;0,03;0,04;;
Area (1000ha);Tirol;0,01;0;0;0,01;0;0,01;0,01;0,01;;
Area (1000ha);Vorarlberg;0;0;0;0;0;0;0;0;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Poland;1,11;6,2;7,6;9,33;5,45;7,92;7,71;9,21;18,34;13,62
Area (1000ha);Region Centralny (NUTS 2013);0,01;0,1;0,6;;;;;;;
Area (1000ha);Lódzkie (NUTS 2013);;;;;;;;;;
Area (1000ha);Mazowieckie (NUTS 2013);0;0;0,4;;;;;;;
Area (1000ha);Makroregion Poludniowy;0,21;0,2;0,9;1,47;0,92;1,7;1,96;2;;
Area (1000ha);Małopolskie;0,06;0,2;0,7;1,28;0,77;1,64;1,64;1,81;;
Area (1000ha);Śląskie;0,15;0,1;0,2;0,18;0,16;0,06;0,32;0,19;;
Area (1000ha);Region Wschodni (NUTS 2013);0,19;1,7;2,3;;;;;;;
Area (1000ha);Lubelskie (NUTS 2013);;;;;;;;;;
Area (1000ha);Podkarpackie (NUTS 2013);;;;;;;;;;
Area (1000ha);Swietokrzyskie (NUTS 2013);;;;;;;;;;
Area (1000ha);Podlaskie (NUTS 2013);;;;;;;;;;
Area (1000ha);Makroregion Pólnocno-Zachodni;0,2;1,5;0,7;0,95;0,68;1,44;1,11;0,53;;
Area (1000ha);Wielkopolskie;0,13;1,3;0,6;0,68;0,43;0,57;0,38;0,14;;
Area (1000ha);Zachodniopomorskie;0,02;0,2;0;0,14;0,02;0,37;0,37;0,03;;
Area (1000ha);Lubuskie;0,05;0,1;0,2;0,13;0,23;0,5;0,37;0,36;;
Area (1000ha);Makroregion Poludniowo-Zachodni;0,36;1,9;2,7;2,85;1,36;1,75;1,54;2,32;;
Area (1000ha);Dolnośląskie;0,15;0,2;2;1,85;1,04;0,95;0,95;1,84;;
Area (1000ha);Opolskie;0,21;1,8;0,7;1;0,33;0,8;0,59;0,48;;
Area (1000ha);Makroregion Pólnocny;0,15;0,8;0,3;0,42;0,19;0,52;0,32;0,33;;
Area (1000ha);Kujawsko-pomorskie;0,03;0,2;0,2;0,29;0,1;0,3;0,23;0,22;;
Area (1000ha);Warmińsko-mazurskie;0,07;0,1;0;0,12;0,07;0,21;0,07;0,03;;
Area (1000ha);Pomorskie;0,05;0,5;0,1;0;0,03;0,01;0,02;0,08;;
Area (1000ha);Makroregion Centralny;0,02;0,2;0,3;1,02;0,24;0,16;0,17;0,56;;
Area (1000ha);Łódzkie;0,01;0,1;0,2;0,65;0,05;0,06;0,06;0,06;;
Area (1000ha);Świętokrzyskie;0,01;0,1;0,1;0,37;0,19;0,1;0,11;0,5;;
Area (1000ha);Makroregion Wschodni;0,18;1,6;2,2;2,38;1,9;1,88;2,3;3,13;;
Area (1000ha);Lubelskie;0,15;1,6;0,9;1,07;0,74;0,38;0,86;1,81;;
Area (1000ha);Podkarpackie;0,03;0;1,3;1,31;1,14;1,3;1,39;1,3;;
Area (1000ha);Podlaskie;0;0;0;0;0,02;0,2;0,04;0,02;;
Area (1000ha);Makroregion Województwo Mazowieckie;0;0;0,4;0,25;0,15;0,49;0,32;0,35;;
Area (1000ha);Warszawski stołeczny;0;0;0;0,03;0,04;0,05;0,14;0,15;;
Area (1000ha);Mazowiecki regionalny;0;0;0,3;0,22;0,11;0,44;0,18;0,2;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Portugal;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Continente;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Norte;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Algarve;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Centro (PT);0;0;0;0;0;0;0;0;0;0
Area (1000ha);Área Metropolitana de Lisboa;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Alentejo;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Região Autónoma dos Açores;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Região Autónoma dos Açores;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Região Autónoma da Madeira;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Região Autónoma da Madeira;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Romania;79,91;128,16;127,27;165,14;169,42;158,15;168,9;139,61;134,4;146,22
Area (1000ha);Macroregiunea unu;6,93;9,66;19,76;27,93;27,21;26,4;34,3;32,82;;
Area (1000ha);Nord-Vest;4,69;5,92;13,54;19,03;19,11;18,42;22,42;21,72;;
Area (1000ha);Centru;2,23;3,74;6,22;8,9;8,1;7,98;11,88;11,1;;
Area (1000ha);Macroregiunea doi;52,39;72,8;64,31;68,34;64,5;62,2;64,98;53,66;;
Area (1000ha);Nord-Est;37,49;46,05;35,01;35,95;33,05;34,74;37,06;29,36;;
Area (1000ha);Sud-Est;14,9;26,75;29,3;32,39;31,45;27,47;27,91;24,3;;
Area (1000ha);Macroregiunea trei;12,92;30,55;29,49;32,78;36,28;34,37;32,64;23,45;;
Area (1000ha);Sud - Muntenia;12,74;30,33;29,17;32,64;36,14;34,24;32,48;23,35;;
Area (1000ha);Bucureşti - Ilfov;0,19;0,21;0,32;0,14;0,15;0,14;0,17;0,1;;
Area (1000ha);Macroregiunea patru;7,67;15,15;13,71;36,09;41,43;35,17;36,99;29,67;;
Area (1000ha);Sud-Vest Oltenia;0,28;1,99;4,97;2,71;2,83;1,91;5,67;3,92;;
Area (1000ha);Vest;7,4;13,16;8,74;33,38;38,6;33,26;31,32;25,75;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Slovenia;0,4;1,71;2,47;2,91;1,76;1,43;1,64;1,89;2,33;
Area (1000ha);Slovenija;0,4;1,71;2,47;2,91;1,76;1,43;1,64;1,89;;
Area (1000ha);Vzhodna Slovenija;0,33;1,57;2,19;2,68;1,61;1,32;1,54;1,77;;
Area (1000ha);Vzhodna Slovenija (NUTS 2010);;;;;;;;;;
Area (1000ha);Zahodna Slovenija;0,07;0,13;0,27;0,22;0,14;0,11;0,1;0,13;;
Area (1000ha);Zahodna Slovenija (NUTS 2010);;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Slovakia;33,23;43,37;34,87;43,9;45,3;47,6;51,07;64,14;66,65;
Area (1000ha);Slovensko;33,23;43,37;34,87;43,9;45,3;47,6;51,07;64,14;;
Area (1000ha);Bratislavský kraj;0,32;1,4;1,24;1,9;1,58;1,02;1,05;1,46;;
Area (1000ha);Západné Slovensko;6,08;8,87;6,27;8,16;7,94;8,83;8,79;11,41;;
Area (1000ha);Stredné Slovensko;8,58;10,61;6,43;8,42;7,9;8,34;9,43;12,9;;
Area (1000ha);Východné Slovensko;18,26;22,49;20,94;25,42;27,9;29,42;31,8;38,36;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Finland;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Manner-Suomi;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Itä-Suomi (NUTS 2006);;0;;0;0;0;0;0;0;0
Area (1000ha);Etelä-Suomi (NUTS 2006);;0;;0;0;0;0;0;0;0
Area (1000ha);Länsi-Suomi;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Pohjois-Suomi (NUTS 2006);;0;;0;0;0;0;0;0;0
Area (1000ha);Helsinki-Uusimaa;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Etelä-Suomi;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Pohjois- ja Itä-Suomi;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Åland;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Åland;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;;0;0;0;0;0;0;0
Area (1000ha);Sweden;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Östra Sverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Stockholm;;0;0;0;0;0;0;0;0;0
Area (1000ha);Östra Mellansverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Södra Sverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Småland med öarna;;0;0;0;0;0;0;0;0;0
Area (1000ha);Sydsverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Västsverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Norra Sverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Norra Mellansverige;;0;0;0;0;0;0;0;0;0
Area (1000ha);Mellersta Norrland;;0;0;0;0;0;0;0;0;0
Area (1000ha);Övre Norrland;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Area (1000ha);European Free Trade Association;;;;;;;;;;
Area (1000ha);Iceland;;0;0;0;0;0;0;0;0;0
Area (1000ha);Ísland;;0;0;0;0;;0;0;0;0
Area (1000ha);Ísland;;;;;;;;0;0;0
Area (1000ha);Norway;0;0;;0;0;0;0;;0;0
Area (1000ha);Norge;0;0;;0;0;0;0;;0;0
Area (1000ha);Oslo og Akershus;0;0;;0;0;0;0;;;
Area (1000ha);Innlandet;0;0;;0;0;0;0;;0;0
Area (1000ha);Sør-Østlandet (statistical region 2016);0;0;;0;0;0;0;;;
Area (1000ha);Agder og Rogaland;0;0;;0;0;0;0;;;
Area (1000ha);Vestlandet (statistical region 2016);0;0;;0;0;0;0;;;
Area (1000ha);Trøndelag;0;0;;0;0;0;0;;0;0
Area (1000ha);Nord-Norge;0;0;;0;0;0;0;;0;0
Area (1000ha);Oslo og Viken;;;;;;0;0;;0;0
Area (1000ha);Sør-Østlandet;;;;;;0;0;;0;0
Area (1000ha);Vestlandet;;;;;;0;0;;0;0
Area (1000ha);Jan Mayen and Svalbard;;;;;;0;0;;0;0
Area (1000ha);Switzerland;1,5;1,72;1,77;1,7;1,8;1,72;2,03;2,24;2,9;
Area (1000ha);Schweiz/Suisse/Svizzera;;1,79;1,77;1,7;1,8;1,72;2,03;2,25;;
Area (1000ha);Région lémanique;;0,68;0,68;0,69;0,76;0,82;0,94;1,03;;
Area (1000ha);Espace Mittelland;;0,24;0,23;0,21;0,23;0,25;0,4;0,5;;
Area (1000ha);Nordwestschweiz;;0,22;0,19;0,17;0,16;0,11;0,15;0,14;;
Area (1000ha);Zürich;;0,29;0,32;0,33;0,33;0,28;0,3;0,32;;
Area (1000ha);Ostschweiz;;0,21;0,21;0,18;0,18;0,13;0,17;0,18;;
Area (1000ha);Zentralschweiz;;0,03;0,02;0,03;0,02;0,01;0,02;0,02;;
Area (1000ha);Ticino;;0,12;0,11;0,1;0,11;0,1;0,06;0,06;;
Area (1000ha);United Kingdom;0;0;0;0;0;0;0;;;
Area (1000ha);North East (UK);;0;0;0;0;0;0;;;
Area (1000ha);Tees Valley and Durham;;0;0;0;0;0;0;;;
Area (1000ha);Northumberland and Tyne and Wear;;0;0;0;0;0;0;;;
Area (1000ha);North West (UK);;0;0;0;0;0;0;;;
Area (1000ha);Cumbria;;0;0;0;0;0;0;;;
Area (1000ha);Greater Manchester;;0;0;0;0;0;0;;;
Area (1000ha);Lancashire;;0;0;0;0;0;0;;;
Area (1000ha);Cheshire;;0;0;0;0;0;0;;;
Area (1000ha);Merseyside;;0;0;0;0;0;0;;;
Area (1000ha);Yorkshire and The Humber;;0;0;0;0;0;0;;;
Area (1000ha);East Yorkshire and Northern Lincolnshire;;0;0;0;0;0;0;;;
Area (1000ha);North Yorkshire;;0;0;0;0;0;0;;;
Area (1000ha);South Yorkshire;;0;0;0;0;0;0;;;
Area (1000ha);West Yorkshire;;0;0;0;0;0;0;;;
Area (1000ha);East Midlands (UK);;0;0;0;0;0;0;;;
Area (1000ha);Derbyshire and Nottinghamshire;;0;0;0;0;0;0;;;
Area (1000ha);Leicestershire, Rutland and Northamptonshire;;0;0;0;0;0;0;;;
Area (1000ha);Lincolnshire;;0;0;0;0;0;0;;;
Area (1000ha);West Midlands (UK);;0;0;0;0;0;0;;;
Area (1000ha);Herefordshire, Worcestershire and Warwickshire;;0;0;0;0;0;0;;;
Area (1000ha);Shropshire and Staffordshire;;0;0;0;0;0;0;;;
Area (1000ha);West Midlands;;0;0;0;0;0;0;;;
Area (1000ha);East of England;;0;0;0;0;0;0;;;
Area (1000ha);East Anglia;;0;0;0;0;0;0;;;
Area (1000ha);Bedfordshire and Hertfordshire;;0;0;0;0;0;0;;;
Area (1000ha);Essex;;0;0;0;0;0;0;;;
Area (1000ha);London;;0;0;0;0;0;0;;;
Area (1000ha);Inner London (NUTS 2010);;0;0;0;0;0;0;;;
Area (1000ha);Outer London (NUTS 2010);;0;0;0;0;0;0;;;
Area (1000ha);Inner London - West;;0;0;0;0;0;0;;;
Area (1000ha);Inner London - East;;0;0;0;0;0;0;;;
Area (1000ha);Outer London - East and North East;;0;0;0;0;0;0;;;
Area (1000ha);Outer London - South;;0;0;0;0;0;0;;;
Area (1000ha);Outer London - West and North West;;0;0;0;0;0;0;;;
Area (1000ha);South East (UK);;0;0;0;0;0;0;;;
Area (1000ha);Berkshire, Buckinghamshire and Oxfordshire;;0;0;0;0;0;0;;;
Area (1000ha);Surrey, East and West Sussex;;0;0;0;0;0;0;;;
Area (1000ha);Hampshire and Isle of Wight;;0;0;0;0;0;0;;;
Area (1000ha);Kent;;0;0;0;0;0;0;;;
Area (1000ha);South West (UK);;0;0;0;0;0;0;;;
Area (1000ha);Gloucestershire, Wiltshire and Bristol/Bath area;;0;0;0;0;0;0;;;
Area (1000ha);Dorset and Somerset;;0;0;0;0;0;0;;;
Area (1000ha);Cornwall and Isles of Scilly;;0;0;0;0;0;0;;;
Area (1000ha);Devon;;0;0;0;0;0;0;;;
Area (1000ha);Wales;;0;0;0;0;0;0;;;
Area (1000ha);West Wales and The Valleys;;0;0;0;0;0;0;;;
Area (1000ha);East Wales;;0;0;0;0;0;0;;;
Area (1000ha);Scotland;;0;0;0;0;0;0;;;
Area (1000ha);Eastern Scotland (NUTS 2013);;0;0;0;0;0;0;;;
Area (1000ha);South Western Scotland (NUTS 2013);;0;0;0;0;0;0;;;
Area (1000ha);North Eastern Scotland;;0;0;0;0;0;0;;;
Area (1000ha);Highlands and Islands;;0;0;0;0;0;0;;;
Area (1000ha);Eastern Scotland;;0;0;0;0;0;0;;;
Area (1000ha);West Central Scotland;;0;0;0;0;0;0;;;
Area (1000ha);Southern Scotland;;0;0;0;0;0;0;;;
Area (1000ha);Northern Ireland;;0;0;0;0;0;0;;;
Area (1000ha);Northern Ireland;;0;0;0;0;0;0;;;
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;;;
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;;;
Area (1000ha);Bosnia and Herzegovina;4,81;6,97;6,97;7,51;8,58;9,03;12,68;13,37;;
Area (1000ha);Montenegro;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Crna Gora;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Crna Gora;;;;;;;;0;;
Area (1000ha);North Macedonia;0,12;0,02;0;0;0;0;0;0;0;0
Area (1000ha);Severna Makedonija;;;;0;0;0;0;0;0;0
Area (1000ha);Severna Makedonija;;;;;;;;0;0;0
Area (1000ha);Albania;0,2;0,2;0,3;0,2;0,25;0,2;0,17;0,15;;
Area (1000ha);Shqipëria;;;;;;;;0,15;;
Area (1000ha);Veri;;;;;;;;0,12;;
Area (1000ha);Qender;;;;;;;;0;;
Area (1000ha);Jug;;;;;;;;0,03;;
Area (1000ha);Serbia;154,25;184,84;183;201,7;196,47;229,37;236,76;237,04;235,28;
Area (1000ha);Srbija - sever;;;;190,8;186,7;213,48;221,01;221,05;;
Area (1000ha);Beogradski region;;;;5,6;5,27;8,62;8,9;9,14;;
Area (1000ha);Region Vojvodine;;;;185,2;181,43;204,86;212,11;211,92;;
Area (1000ha);Srbija - jug;;;;10,9;9,77;15,9;15,75;15,98;;
Area (1000ha);Region Šumadije i Zapadne Srbije;;;;10,3;9,23;14,14;14,72;14,85;;
Area (1000ha);Region Južne i Istočne Srbije;;;;0,6;0,54;1,76;1,03;1,14;;
Area (1000ha);Türkiye;34;37;38;32;33;35;36;44;38;
Area (1000ha);Istanbul;;;0;0;0;0;0;0;;
Area (1000ha);Istanbul;;;;;;0;0;0;;
Area (1000ha);Bati Marmara;;;0;0;0;0;0;0;;
Area (1000ha);Tekirdag, Edirne, Kirklareli;;;;;;0;0;0;;
Area (1000ha);Balikesir, Çanakkale;;;;;;0;0;0;;
Area (1000ha);Ege;;;0;0;0;0;0;0;;
Area (1000ha);Izmir;;;;;;0;0;0;;
Area (1000ha);Aydin, Denizli, Mugla;;;;;;0;0;0;;
Area (1000ha);Manisa, Afyonkarahisar, Kütahya, Usak;;;;;;0;0;0;;
Area (1000ha);Dogu Marmara;;;0;0;0;0;0;0;;
Area (1000ha);Bursa, Eskisehir, Bilecik;;;;;;0;0;0;;
Area (1000ha);Kocaeli, Sakarya, Düzce, Bolu, Yalova;;;;;;0;0;0;;
Area (1000ha);Bati Anadolu;;;0;0;0;0;0;0;;
Area (1000ha);Ankara;;;;;;0;0;0;;
Area (1000ha);Konya, Karaman;;;;;;0;0;0;;
Area (1000ha);Akdeniz;30;32;34;28;30;33;33;40;;
Area (1000ha);Antalya, Isparta, Burdur;;;;;;0;0;0;;
Area (1000ha);Adana, Mersin;27;28;31;25;27;29;29;33;;
Area (1000ha);Hatay, Kahramanmaras, Osmaniye;3;4;3;3;3;4;4;7;;
Area (1000ha);Orta Anadolu;;;0;0;0;0;0;0;;
Area (1000ha);Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;;;;;;0;0;0;;
Area (1000ha);Kayseri, Sivas, Yozgat;;;;;;0;0;0;;
Area (1000ha);Bati Karadeniz;3;4;3;3;2;2;2;2;;
Area (1000ha);Zonguldak, Karabük, Bartin;;;;;;0;0;0;;
Area (1000ha);Kastamonu, Çankiri, Sinop;;;;;;0;0;0;;
Area (1000ha);Samsun, Tokat, Çorum, Amasya;3;4;3;3;2;2;2;2;;
Area (1000ha);Dogu Karadeniz;;;0;0;0;0;0;0;;
Area (1000ha);Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane;;;;;;0;0;0;;
Area (1000ha);Kuzeydogu Anadolu;;;0;0;0;0;0;0;;
Area (1000ha);Erzurum, Erzincan, Bayburt;;;;;;0;0;0;;
Area (1000ha);Agri, Kars, Igdir, Ardahan;;;;;;0;0;0;;
Area (1000ha);Ortadogu Anadolu;;;0;0;0;0;0;0;;
Area (1000ha);Malatya, Elazig, Bingöl, Tunceli;;;;;;0;0;0;;
Area (1000ha);Van, Mus, Bitlis, Hakkari;;;;;;0;0;0;;
Area (1000ha);Güneydogu Anadolu;1;1;1;1;1;0;1;2;;
Area (1000ha);Gaziantep, Adiyaman, Kilis;;;;;;0;0;0;;
Area (1000ha);Sanliurfa, Diyarbakir;0;;;;1;0;1;1;;
Area (1000ha);Mardin, Batman, Sirnak, Siirt;1;1;1;1;;0;0;1;;
Area (1000ha);Kosovo (under United Nations Security Council Resolution 1244/99);;;;;0;0;0;0;;
Production (1000t);European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);1931,11;2443,15;2542,77;2743;2912,11;2813,26;2681,84;2712,9;2494,34;
Production (1000t);European Union - 27 countries (from 2020);1931,11;2443,15;2542,77;2743;2912,11;2813,26;2681,84;2712,9;2494,34;
Production (1000t);European Union - 28 countries (2013-2020);1931,11;2443,15;2542,77;2743;2912,11;2813,26;;;;
Production (1000t);Belgium;0;0;0;0;0;0;0;0;0;0
Production (1000t);Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;0;0;0;0;0;0;0;0;0;0
Production (1000t);Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;0;0;0;0;0;0;0;0;0;0
Production (1000t);Vlaams Gewest;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Antwerpen;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Limburg (BE);0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Oost-Vlaanderen;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Vlaams-Brabant;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. West-Vlaanderen;0;0;0;0;0;0;0;0;0;0
Production (1000t);Région wallonne;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Brabant Wallon;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Hainaut;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Liège;0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Luxembourg (BE);0;0;0;0;0;0;0;0;0;0
Production (1000t);Prov. Namur;0;0;0;0;0;0;0;0;0;0
Production (1000t);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Production (1000t);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Production (1000t);Bulgaria;0,76;41,92;19,13;20,91;4,73;7,57;6,2;2,81;10,18;
Production (1000t);Severna i yugoiztochna Bulgaria;0,64;40,24;18,39;20,83;;;5,23;;;
Production (1000t);Severozapaden;;11,85;5,29;13,33;;;2,67;;;
Production (1000t);Severen tsentralen;0,37;17,41;8,25;5,64;;;1,4;;;
Production (1000t);Severoiztochen;;9,48;4,33;1,54;;;0,12;;;
Production (1000t);Yugoiztochen;0;1,5;0,52;0,32;;;1,05;;;
Production (1000t);Yugozapadna i yuzhna tsentralna Bulgaria;0,12;1,68;0,74;0,08;;;0,97;;;
Production (1000t);Yugozapaden;;0,36;0,29;0,08;;;;;;
Production (1000t);Yuzhen tsentralen;;1,32;0,45;0;;;;;;
Production (1000t);Extra-Regio NUTS 1;;;;;;;;;;
Production (1000t);Extra-Regio NUTS 2;;;;;;;;;;
Production (1000t);Severna Bulgaria (statistical region 2005);;;;;;;;;;
Production (1000t);Czechia;16,49;20,24;27,97;37,01;25,26;27,84;33,02;51,46;65,54;
Production (1000t);Cesko;16,49;20,24;27,97;37,01;25,26;27,84;33,02;51,46;;
Production (1000t);Praha;0,6;0,68;0,44;0,75;0,24;0,36;0,27;0,53;;
Production (1000t);Střední Čechy;3,78;4,13;6,16;7,28;5,5;5,92;6,41;10,29;;
Production (1000t);Jihozápad;0,27;0,56;0,69;1,02;0,8;1,02;1,51;2,1;;
Production (1000t);Severozápad;0,72;0,73;0,99;1,77;1,01;1,51;1,14;1,33;;
Production (1000t);Severovýchod;2,12;3,3;5,23;9,21;6,94;6,75;8,03;12,77;;
Production (1000t);Jihovýchod;2,27;2,99;3,04;3,82;2,57;3;4,27;7,4;;
Production (1000t);Střední Morava;3,75;4,15;6,18;7,05;3,82;4,88;6,73;11,06;;
Production (1000t);Moravskoslezsko;2,97;3,72;5,24;6,12;4,37;4,41;4,66;5,98;;
Production (1000t);Extra-Regio NUTS 1;;;;;;;;;;
Production (1000t);Extra-Regio NUTS 2;;;;;;;;;;
Production (1000t);Denmark;0;0;0;0;0;0;0;0;0;0
Production (1000t);Danmark;;0;0;0;0;0;0;0;0;0
Production (1000t);Hovedstaden;;0;0;0;0;0;0;0;0;0
Production (1000t);Sjælland;;0;0;0;0;0;0;0;0;0
Production (1000t);Syddanmark;;0;0;0;0;0;0;0;0;0
Production (1000t);Midtjylland;;0;0;0;0;0;0;0;0;0
Production (1000t);Nordjylland;;0;0;0;0;0;0;0;0;0
Production (1000t);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Production (1000t);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Production (1000t);Germany;;;43,2;65,7;58,7;84,1;90,5;106,6;120,5;
Production (1000t);Baden-Württemberg;;;16,4;25,6;18,6;22,5;17,9;23,6;;
Production (1000t);Stuttgart;;;;;;;;;;
Production (1000t);Karlsruhe;;;;;;;;;;
Production (1000t);Freiburg;;;;;;;;;;
Production (1000t);Tübingen;;;;;;;;;;
Production (1000t);Bayern;;;;29,3;31,6;50,3;57,1;63,4;;
Production (1000t);Oberbayern;;;;;;;;;;
Production (1000t);Niederbayern;;;;;;;;;;
