Var;Geo;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Area (1000ha);Braunschweig;;;;;;;;;;
Area (1000ha);Hannover;;;;;;;;;;
Area (1000ha);Lüneburg;;;;;;;;;;
Area (1000ha);Weser-Ems;;;;;;;;;;
Area (1000ha);Nordrhein-Westfalen;;;0,2;;;;0,7;;;
Area (1000ha);Düsseldorf;;;;;;;;;;
Area (1000ha);Köln;;;;;;;;;;
Area (1000ha);Münster;;;;;;;;;;
Area (1000ha);Detmold;;;;;;;;;;
Area (1000ha);Arnsberg;;;;;;;;;;
Area (1000ha);Rheinland-Pfalz;;;;;;;0,3;0,4;;
Area (1000ha);Koblenz;;;;;;;;;;
Area (1000ha);Trier;;;;;;;;;;
Area (1000ha);Rheinhessen-Pfalz;;;;;;;;;;
Area (1000ha);Saarland;;;;;;;0;0;;
Area (1000ha);Saarland;;;;;;;;;;
Area (1000ha);Sachsen;;;0,3;0,4;0,5;0,5;1;0,7;;
Area (1000ha);Dresden;;;;;;;;;;
Area (1000ha);Chemnitz;;;;;;;;;;
Area (1000ha);Leipzig;;;;;;;;;;
Area (1000ha);Sachsen-Anhalt;;;0,9;1;0,9;1,3;1,2;1,3;;
Area (1000ha);Sachsen-Anhalt;;;;;;;;;;
Area (1000ha);Schleswig-Holstein;;;0;0;;0,1;0,1;;;
Area (1000ha);Schleswig-Holstein;;;;;;;;;;
Area (1000ha);Thüringen;;;0,3;0,3;0,3;0,3;0,5;0,4;;
Area (1000ha);Thüringen;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Estonia;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Eesti;;0;0;0;0;0;0;0;0;0
Area (1000ha);Eesti;;;;;;;;0;0;
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Area (1000ha);Ireland;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Éire/Ireland;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Northern and Western;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Southern;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Eastern and Midland;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Border, Midland and Western (NUTS 2013);0;0;0;0;0;0;0;0;0;0
Area (1000ha);Southern and Eastern (NUTS 2013);0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Greece;1,18;1,95;1,55;1,46;0,61;1,03;0,99;0,82;0,9;0,9
Area (1000ha);Voreia Ellada (NUTS 2010);0,22;;;;;;;;;
Area (1000ha);Anatoliki Makedonia, Thraki (NUTS 2010);0,11;;;;;;;;;
Area (1000ha);Kentriki Makedonia (NUTS 2010);0,04;;;;;;;;;
Area (1000ha);Dytiki Makedonia (NUTS 2010);0;;;;;;;;;
Area (1000ha);Thessalia (NUTS 2010);0,07;;;;;;;;;
